# Equinor Volve definitive survey 15/9-F-11 A (MD m, INC deg, AZI deg grid, TVD m below DF, NS/EW m from template reference)
MD,INC,AZI,TVD,NS,EW
145.90,0.000,0.000,145.90,4.65,-0.93
150.00,0.090,227.760,150.00,4.65,-0.93
160.00,0.200,225.570,160.00,4.63,-0.95
170.00,0.190,227.590,170.00,4.61,-0.97
180.00,0.230,231.320,180.00,4.58,-1.00
190.00,0.230,233.020,190.00,4.56,-1.03
200.00,0.220,235.120,200.00,4.54,-1.06
202.00,0.220,235.000,202.00,4.53,-1.07
210.00,0.240,234.550,210.00,4.51,-1.10
220.00,0.340,239.760,220.00,4.49,-1.14
230.00,0.420,244.410,230.00,4.46,-1.20
240.00,0.570,252.510,240.00,4.42,-1.28
250.00,0.920,274.570,250.00,4.42,-1.41
260.00,1.130,286.190,260.00,4.45,-1.58
270.00,1.160,287.830,269.99,4.51,-1.77
280.00,1.200,290.330,279.99,4.58,-1.97
290.00,1.240,293.030,289.99,4.65,-2.16
300.00,1.200,293.200,299.99,4.74,-2.36
310.00,1.190,294.420,309.99,4.82,-2.55
320.00,1.150,292.810,319.98,4.90,-2.74
330.00,1.120,290.980,329.98,4.98,-2.92
340.00,1.100,290.840,339.98,5.05,-3.10
350.00,1.080,288.680,349.98,5.11,-3.28
360.00,1.070,287.430,359.98,5.17,-3.46
370.00,1.100,286.470,369.97,5.22,-3.64
380.00,1.190,289.320,379.97,5.29,-3.83
390.00,1.330,294.680,389.97,5.37,-4.03
400.00,1.730,303.220,399.97,5.50,-4.27
410.00,1.860,305.680,409.96,5.68,-4.52
420.00,1.890,306.230,419.96,5.87,-4.79
430.00,1.960,306.140,429.95,6.07,-5.06
440.00,1.990,306.930,439.94,6.27,-5.34
450.00,2.010,307.010,449.94,6.48,-5.62
460.00,1.990,307.090,459.93,6.69,-5.89
470.00,2.030,307.660,469.93,6.91,-6.17
480.00,2.060,308.330,479.92,7.13,-6.45
490.00,2.050,307.740,489.91,7.35,-6.74
500.00,2.100,310.180,499.91,7.57,-7.02
510.00,2.110,309.440,509.90,7.81,-7.30
520.00,2.120,308.880,519.89,8.04,-7.59
530.00,2.090,308.610,529.89,8.27,-7.87
540.00,2.130,310.130,539.88,8.51,-8.16
550.00,2.130,309.280,549.87,8.74,-8.44
560.00,2.120,309.170,559.87,8.98,-8.73
570.00,2.130,309.030,569.86,9.21,-9.02
580.00,2.160,309.020,579.85,9.45,-9.31
590.00,2.140,309.850,589.85,9.69,-9.60
600.00,2.180,309.020,599.84,9.93,-9.89
610.00,2.150,308.450,609.83,10.16,-10.18
620.00,2.130,307.490,619.82,10.39,-10.48
630.00,2.010,302.740,629.82,10.60,-10.77
640.00,1.680,284.450,639.81,10.73,-11.06
650.00,1.630,275.560,649.81,10.78,-11.35
660.00,1.660,272.600,659.80,10.80,-11.63
670.00,1.790,276.800,669.80,10.83,-11.93
680.00,2.110,265.050,679.79,10.83,-12.27
690.00,2.450,259.380,689.79,10.77,-12.66
700.00,2.770,256.590,699.78,10.68,-13.11
710.00,3.190,251.910,709.76,10.54,-13.61
720.00,4.010,244.940,719.74,10.30,-14.19
730.00,4.670,241.670,729.71,9.96,-14.87
740.00,5.380,239.180,739.67,9.53,-15.63
750.00,6.030,237.660,749.63,9.01,-16.47
760.00,6.890,236.290,759.56,8.39,-17.42
770.00,7.680,235.540,769.48,7.68,-18.47
780.00,8.370,235.750,779.38,6.89,-19.62
790.00,9.330,235.860,789.26,6.03,-20.89
800.00,10.210,236.820,799.12,5.09,-22.30
810.00,10.790,237.990,808.95,4.11,-23.84
820.00,11.330,239.390,818.77,3.11,-25.48
830.00,11.930,242.490,828.56,2.13,-27.24
840.00,12.310,246.060,838.34,1.22,-29.13
850.00,12.520,249.240,848.10,0.41,-31.12
860.00,12.790,252.710,857.86,-0.31,-33.19
870.00,12.840,255.520,867.61,-0.91,-35.32
880.00,12.750,256.870,877.36,-1.44,-37.47
890.00,12.550,257.290,887.12,-1.93,-39.61
900.00,12.180,258.310,896.89,-2.38,-41.70
910.00,11.400,260.190,906.68,-2.77,-43.71
920.00,10.910,261.870,916.49,-3.07,-45.62
930.00,10.760,262.940,926.31,-3.32,-47.48
940.00,10.580,264.050,936.14,-3.53,-49.32
950.00,10.530,264.500,945.97,-3.71,-51.14
960.00,10.520,265.360,955.80,-3.87,-52.96
970.00,10.480,266.010,965.63,-4.01,-54.78
980.00,10.360,267.690,975.47,-4.11,-56.59
990.00,10.310,270.330,985.31,-4.14,-58.38
1000.00,10.290,272.520,995.14,-4.09,-60.17
1010.00,10.340,273.320,1004.98,-4.00,-61.95
1020.00,10.390,274.630,1014.82,-3.88,-63.75
1030.00,10.480,275.340,1024.65,-3.72,-65.55
1040.00,10.470,275.480,1034.49,-3.55,-67.36
1050.00,10.490,275.780,1044.32,-3.37,-69.17
1060.00,10.660,277.070,1054.15,-3.17,-71.00
1070.00,11.010,278.920,1063.97,-2.90,-72.86
1080.00,11.460,281.150,1073.78,-2.56,-74.78
1090.00,12.020,283.680,1083.57,-2.13,-76.76
1100.00,13.040,287.320,1093.33,-1.54,-78.85
1110.00,14.190,289.870,1103.05,-0.79,-81.08
1120.00,15.140,291.090,1112.73,0.10,-83.45
1130.00,16.290,291.760,1122.35,1.09,-85.97
1140.00,18.120,291.940,1131.91,2.19,-88.72
1150.00,19.370,291.620,1141.37,3.38,-91.70
1160.00,20.200,291.030,1150.78,4.61,-94.86
1170.00,20.940,290.280,1160.15,5.85,-98.14
1180.00,21.740,288.950,1169.46,7.07,-101.57
1190.00,22.060,288.240,1178.74,8.26,-105.11
1200.00,22.300,287.560,1188.00,9.42,-108.70
1210.00,22.530,286.610,1197.24,10.54,-112.34
1220.00,22.780,285.440,1206.47,11.60,-116.05
1230.00,22.910,284.770,1215.69,12.61,-119.79
1240.00,22.990,284.460,1224.90,13.60,-123.57
1250.00,23.100,284.530,1234.10,14.58,-127.36
1260.00,23.020,284.460,1243.30,15.56,-131.15
1270.00,22.400,284.230,1252.52,16.51,-134.89
1280.00,22.060,284.220,1261.78,17.44,-138.56
1290.00,21.490,284.190,1271.07,18.35,-142.15
1300.00,20.950,283.850,1280.39,19.23,-145.66
1310.00,20.830,283.600,1289.73,20.08,-149.13
1320.00,20.850,283.680,1299.08,20.92,-152.59
1330.00,21.020,283.730,1308.42,21.76,-156.06
1340.00,21.310,283.420,1317.74,22.61,-159.57
1350.00,21.610,283.170,1327.05,23.45,-163.13
1357.70,21.890,282.710,1334.20,24.09,-165.91
1360.00,21.970,282.580,1336.33,24.28,-166.75
1370.00,22.450,281.180,1345.59,25.06,-170.44
