# Equinor Volve definitive survey 15/9-F-11 B (MD m RKB, INC deg, AZI deg grid, TVD m RKB, NS/EW m from the package origin E 435050.03 / N 6478563.55, from the survey UTM coordinates). Source: awgeo/Volve_field_data input_data/wellpaths.
MD,INC,AZI,TVD,NS,EW
145.90,0.00,0.00,145.90,4.622,-0.935
150.00,0.09,227.76,150.00,4.620,-0.937
160.00,0.20,225.57,160.00,4.602,-0.956
170.00,0.19,227.59,170.00,4.579,-0.980
180.00,0.23,231.32,180.00,4.555,-1.008
190.00,0.23,233.02,190.00,4.531,-1.040
200.00,0.22,235.12,200.00,4.508,-1.072
210.00,0.24,234.55,210.00,4.484,-1.105
220.00,0.34,239.76,220.00,4.457,-1.147
230.00,0.42,244.41,230.00,4.427,-1.206
240.00,0.57,252.51,240.00,4.396,-1.286
250.00,0.92,274.57,250.00,4.387,-1.414
260.00,1.13,286.19,260.00,4.421,-1.588
270.00,1.16,287.83,269.99,4.480,-1.779
280.00,1.20,290.33,279.99,4.547,-1.974
290.00,1.24,293.03,289.99,4.626,-2.172
300.00,1.20,293.20,299.99,4.709,-2.367
310.00,1.19,294.42,309.99,4.793,-2.558
320.00,1.15,292.81,319.98,4.875,-2.745
330.00,1.12,290.98,329.98,4.949,-2.929
340.00,1.10,290.84,339.98,5.018,-3.110
350.00,1.08,288.68,349.98,5.082,-3.289
360.00,1.07,287.43,359.98,5.141,-3.467
370.00,1.10,286.47,369.97,5.196,-3.648
380.00,1.19,289.32,379.97,5.257,-3.838
390.00,1.33,294.68,389.97,5.340,-4.041
400.00,1.73,303.22,399.97,5.471,-4.273
410.00,1.86,305.68,409.96,5.649,-4.531
420.00,1.89,306.23,419.96,5.841,-4.796
430.00,1.96,306.14,429.95,6.039,-5.067
440.00,1.99,306.93,439.94,6.244,-5.344
450.00,2.01,307.01,449.94,6.454,-5.622
460.00,1.99,307.09,459.93,6.664,-5.901
470.00,2.03,307.66,469.93,6.877,-6.179
480.00,2.06,308.33,479.92,7.096,-6.460
490.00,2.05,307.74,489.91,7.317,-6.743
500.00,2.10,310.18,499.91,7.545,-7.024
510.00,2.11,309.44,509.90,7.780,-7.306
520.00,2.12,308.88,519.89,8.013,-7.592
530.00,2.09,308.61,529.89,8.243,-7.879
540.00,2.13,310.13,539.88,8.476,-8.163
550.00,2.13,309.28,549.87,8.714,-8.449
560.00,2.12,309.17,559.87,8.948,-8.736
570.00,2.13,309.03,569.86,9.182,-9.024
580.00,2.16,309.02,579.85,9.417,-9.314
590.00,2.14,309.85,589.85,9.655,-9.604
600.00,2.18,309.02,599.84,9.895,-9.895
610.00,2.15,308.45,609.83,10.131,-10.190
620.00,2.13,307.49,619.82,10.361,-10.484
630.00,2.01,302.74,629.82,10.569,-10.779
640.00,1.68,284.45,639.81,10.700,-11.068
650.00,1.63,275.56,649.81,10.750,-11.351
660.00,1.66,272.60,659.80,10.771,-11.638
670.00,1.79,276.80,669.80,10.796,-11.937
680.00,2.11,265.05,679.79,10.798,-12.276
690.00,2.45,259.38,689.79,10.743,-12.669
700.00,2.77,256.59,699.78,10.648,-13.114
710.00,3.19,251.91,709.76,10.505,-13.613
720.00,4.01,244.94,719.74,10.271,-14.194
730.00,4.67,241.67,729.71,9.930,-14.869
740.00,5.38,239.18,739.67,9.496,-15.630
750.00,6.03,237.66,749.63,8.976,-16.476
760.00,6.89,236.29,759.56,8.362,-17.418
770.00,7.68,235.54,769.48,7.651,-18.468
780.00,8.37,235.75,779.38,6.864,-19.620
