# RECONSTRUCTED context trajectories through official Volve formation-pick coordinates (TVD below DF, NS/EW m from local origin)
WELL,MD,TVD,NS,EW
NO 15/9-11,0.0,0.0,-4562.0,360.8
NO 15/9-11,113.0,113.0,-4562.0,360.8
NO 15/9-11,137.9,137.9,-4562.0,360.8
NO 15/9-11,162.8,162.8,-4562.0,360.7
NO 15/9-11,187.7,187.7,-4562.0,360.7
NO 15/9-11,212.6,212.6,-4562.0,360.6
NO 15/9-11,237.5,237.5,-4562.0,360.6
NO 15/9-11,262.4,262.4,-4562.0,360.5
NO 15/9-11,287.3,287.3,-4562.0,360.4
NO 15/9-11,312.2,312.2,-4562.1,360.3
NO 15/9-11,337.1,337.1,-4562.1,360.2
NO 15/9-11,361.9,361.9,-4562.1,360.1
NO 15/9-11,386.8,386.8,-4562.1,360.0
NO 15/9-11,411.7,411.7,-4562.1,359.9
NO 15/9-11,436.6,436.6,-4562.0,359.8
NO 15/9-11,461.5,461.5,-4562.0,359.8
NO 15/9-11,486.4,486.4,-4562.0,359.7
NO 15/9-11,511.3,511.3,-4561.9,359.6
NO 15/9-11,536.2,536.2,-4561.8,359.5
NO 15/9-11,561.1,561.1,-4561.8,359.4
NO 15/9-11,586.0,586.0,-4561.6,359.4
NO 15/9-11,609.9,609.9,-4561.5,359.3
NO 15/9-11,633.8,633.8,-4561.4,359.2
NO 15/9-11,657.7,657.7,-4561.2,359.2
NO 15/9-11,681.6,681.6,-4560.9,359.1
NO 15/9-11,705.5,705.5,-4560.7,359.0
NO 15/9-11,729.4,729.4,-4560.5,358.9
NO 15/9-11,753.3,753.3,-4560.3,358.9
NO 15/9-11,777.2,777.2,-4560.0,358.9
NO 15/9-11,801.1,801.1,-4559.8,359.0
NO 15/9-11,825.0,825.0,-4559.6,359.1
NO 15/9-11,849.9,849.9,-4559.5,359.2
NO 15/9-11,874.8,874.8,-4559.3,359.5
NO 15/9-11,899.7,899.7,-4559.0,359.7
NO 15/9-11,924.6,924.6,-4558.8,360.0
NO 15/9-11,949.5,949.5,-4558.6,360.3
NO 15/9-11,974.5,974.4,-4558.4,360.7
NO 15/9-11,999.4,999.3,-4558.3,361.0
NO 15/9-11,1024.3,1024.2,-4558.1,361.4
NO 15/9-11,1049.2,1049.1,-4558.1,361.7
NO 15/9-11,1074.1,1074.1,-4558.1,362.0
NO 15/9-11,1099.0,1099.0,-4558.1,362.3
NO 15/9-11,1123.8,1123.7,-4558.3,362.5
NO 15/9-11,1148.5,1148.5,-4558.4,362.8
NO 15/9-11,1173.3,1173.3,-4558.6,363.0
NO 15/9-11,1198.1,1198.0,-4558.8,363.3
NO 15/9-11,1222.8,1222.8,-4559.0,363.6
NO 15/9-11,1247.6,1247.6,-4559.2,363.8
NO 15/9-11,1272.4,1272.3,-4559.4,364.1
NO 15/9-11,1297.2,1297.1,-4559.7,364.4
NO 15/9-11,1321.9,1321.8,-4559.9,364.7
NO 15/9-11,1346.7,1346.6,-4560.2,364.9
NO 15/9-11,1371.5,1371.4,-4560.5,365.2
NO 15/9-11,1396.2,1396.1,-4560.8,365.5
NO 15/9-11,1421.0,1420.9,-4561.2,365.8
NO 15/9-11,1445.8,1445.7,-4561.5,366.1
NO 15/9-11,1470.5,1470.4,-4561.8,366.4
NO 15/9-11,1495.3,1495.2,-4562.2,366.7
NO 15/9-11,1520.1,1520.0,-4562.6,367.0
NO 15/9-11,1544.8,1544.7,-4563.0,367.2
NO 15/9-11,1569.6,1569.5,-4563.3,367.5
NO 15/9-11,1594.4,1594.3,-4563.7,367.8
NO 15/9-11,1619.2,1619.0,-4564.1,368.1
NO 15/9-11,1643.9,1643.8,-4564.6,368.4
NO 15/9-11,1668.7,1668.5,-4565.0,368.6
NO 15/9-11,1693.5,1693.3,-4565.4,368.9
NO 15/9-11,1718.2,1718.1,-4565.8,369.2
NO 15/9-11,1743.0,1742.8,-4566.3,369.4
NO 15/9-11,1767.8,1767.6,-4566.7,369.7
NO 15/9-11,1792.5,1792.4,-4567.1,369.9
NO 15/9-11,1817.3,1817.1,-4567.6,370.1
NO 15/9-11,1842.1,1841.9,-4568.0,370.4
NO 15/9-11,1866.8,1866.7,-4568.5,370.6
NO 15/9-11,1891.6,1891.4,-4568.9,370.8
NO 15/9-11,1916.4,1916.2,-4569.4,371.0
NO 15/9-11,1941.2,1940.9,-4569.8,371.2
NO 15/9-11,1965.9,1965.7,-4570.2,371.4
NO 15/9-11,1990.7,1990.5,-4570.7,371.5
NO 15/9-11,2015.5,2015.2,-4571.1,371.7
NO 15/9-11,2040.2,2040.0,-4571.5,371.8
NO 15/9-11,2065.0,2064.8,-4572.0,372.0
NO 15/9-11,2089.8,2089.5,-4572.4,372.1
NO 15/9-11,2114.5,2114.3,-4572.8,372.2
NO 15/9-11,2139.3,2139.1,-4573.2,372.3
NO 15/9-11,2164.1,2163.8,-4573.6,372.4
NO 15/9-11,2188.8,2188.6,-4574.0,372.4
NO 15/9-11,2213.6,2213.4,-4574.4,372.5
NO 15/9-11,2238.4,2238.1,-4574.8,372.5
NO 15/9-11,2263.2,2262.9,-4575.1,372.5
NO 15/9-11,2287.9,2287.6,-4575.5,372.5
NO 15/9-11,2312.7,2312.4,-4575.8,372.5
NO 15/9-11,2337.5,2337.2,-4576.1,372.5
NO 15/9-11,2362.2,2361.9,-4576.4,372.4
NO 15/9-11,2387.0,2386.7,-4576.8,372.4
NO 15/9-11,2410.3,2410.0,-4577.0,372.2
NO 15/9-11,2433.7,2433.4,-4577.3,371.9
NO 15/9-11,2457.0,2456.7,-4577.5,371.6
NO 15/9-11,2480.3,2480.0,-4577.8,371.2
NO 15/9-11,2503.7,2503.4,-4577.9,370.8
NO 15/9-11,2527.0,2526.7,-4578.0,370.4
NO 15/9-11,2551.2,2550.9,-4578.1,370.0
NO 15/9-11,2575.5,2575.2,-4578.0,369.6
NO 15/9-11,2599.8,2599.4,-4577.9,369.1
NO 15/9-11,2624.0,2623.7,-4578.0,368.7
NO 15/9-11,2645.4,2645.1,-4578.0,368.2
NO 15/9-11,2666.8,2666.5,-4578.1,367.8
NO 15/9-11,2688.2,2687.9,-4578.3,367.3
NO 15/9-11,2709.7,2709.3,-4578.5,366.8
NO 15/9-11,2731.1,2730.7,-4578.6,366.3
NO 15/9-11,2752.5,2752.1,-4578.8,365.8
NO 15/9-11,2764.2,2763.9,-4579.0,365.4
NO 15/9-11,2776.0,2775.6,-4579.1,365.1
NO 15/9-11,2794.2,2793.8,-4579.3,364.6
NO 15/9-11,2812.3,2811.9,-4579.4,364.3
NO 15/9-11,2830.5,2830.1,-4579.5,363.9
NO 15/9-17,0.0,0.0,387.7,3552.7
NO 15/9-17,108.0,108.0,387.7,3552.7
NO 15/9-17,132.2,132.2,387.7,3552.7
NO 15/9-17,156.4,156.4,387.7,3552.7
NO 15/9-17,180.6,180.6,387.8,3552.6
NO 15/9-17,204.8,204.8,387.9,3552.6
NO 15/9-17,229.1,229.0,388.0,3552.6
NO 15/9-17,253.3,253.3,388.2,3552.5
NO 15/9-17,277.5,277.5,388.4,3552.5
NO 15/9-17,301.7,301.7,388.5,3552.4
NO 15/9-17,325.9,325.9,388.7,3552.4
NO 15/9-17,350.1,350.1,388.9,3552.3
NO 15/9-17,374.3,374.3,389.2,3552.2
NO 15/9-17,398.5,398.5,389.4,3552.2
NO 15/9-17,422.7,422.7,389.6,3552.1
NO 15/9-17,446.9,446.9,389.8,3552.0
NO 15/9-17,471.2,471.1,390.0,3552.0
NO 15/9-17,495.4,495.4,390.2,3551.9
NO 15/9-17,519.6,519.6,390.4,3551.8
NO 15/9-17,543.8,543.8,390.5,3551.7
NO 15/9-17,568.0,568.0,390.7,3551.7
NO 15/9-17,592.0,592.0,390.8,3551.6
NO 15/9-17,616.0,616.0,390.9,3551.5
NO 15/9-17,640.0,640.0,391.0,3551.4
NO 15/9-17,664.0,664.0,391.1,3551.3
NO 15/9-17,688.0,688.0,391.1,3551.1
NO 15/9-17,712.0,712.0,391.2,3551.0
NO 15/9-17,736.0,736.0,391.3,3550.9
NO 15/9-17,760.0,760.0,391.4,3550.9
NO 15/9-17,784.0,784.0,391.5,3550.8
NO 15/9-17,808.0,808.0,391.6,3550.8
NO 15/9-17,832.0,832.0,391.8,3550.8
NO 15/9-17,855.7,855.6,391.9,3550.8
NO 15/9-17,879.3,879.3,392.0,3550.9
NO 15/9-17,903.0,903.0,392.2,3551.0
NO 15/9-17,926.7,926.6,392.4,3551.2
NO 15/9-17,950.3,950.3,392.5,3551.4
NO 15/9-17,974.0,974.0,392.7,3551.5
NO 15/9-17,997.7,997.6,392.9,3551.7
NO 15/9-17,1021.3,1021.3,393.1,3551.8
NO 15/9-17,1045.0,1045.0,393.2,3552.0
NO 15/9-17,1069.7,1069.7,393.4,3552.1
NO 15/9-17,1094.5,1094.4,393.6,3552.2
NO 15/9-17,1119.2,1119.2,393.8,3552.3
NO 15/9-17,1144.0,1143.9,394.0,3552.5
NO 15/9-17,1168.7,1168.7,394.2,3552.6
NO 15/9-17,1193.5,1193.4,394.4,3552.7
NO 15/9-17,1218.2,1218.2,394.6,3552.8
NO 15/9-17,1243.0,1242.9,394.7,3552.9
NO 15/9-17,1267.7,1267.6,394.9,3553.1
NO 15/9-17,1292.5,1292.4,395.1,3553.2
NO 15/9-17,1317.2,1317.1,395.3,3553.3
NO 15/9-17,1341.9,1341.9,395.4,3553.4
NO 15/9-17,1366.7,1366.6,395.6,3553.5
NO 15/9-17,1391.4,1391.4,395.8,3553.7
